com.papertrail:profiler,1.0.2,"The Apache License, Version 2.0","",Approved,Gradle,""
com.squarespace.jersey2-guice:0-jersey2-guice-spi,1.0.6,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.squarespace.jersey2-guice:jersey2-guice-impl,1.0.6,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.tdunning:t-digest,3.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.thoughtworks.xstream:xstream,1.4.9,BSD style,"",Not approved,Gradle,""
commons-beanutils:commons-beanutils,1.8.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
commons-codec:commons-codec,1.10,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
commons-io:commons-io,2.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
commons-logging:commons-logging,1.1.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
dk.brics.automaton:automaton,1.11-8,BSD,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Approved,Gradle,""
dom4j:dom4j,1.6.1,unknown,"",Not approved,Gradle,""
gov.ca.cwds.api:api-core,3.6.400,unknown,"",Not approved,Gradle,""
gov.ca.cwds.api:api-core-cms,3.6.400,unknown,"",Not approved,Gradle,""
gov.ca.cwds.api:api-core-common,3.6.400,unknown,"",Not approved,Gradle,""
gov.ca.cwds.api:api-core-rest,3.6.400,unknown,"",Not approved,Gradle,""
gov.ca.cwds.api:jwt-security,0.25.69,unknown,"",Not approved,Gradle,""
gov.ca.cwds.api:shiro-security,0.25.69,unknown,"",Not approved,Gradle,""
gov.ca.cwds.cals:cals-ns-data-model,0.4.2-SNAPSHOT,unknown,"",Not approved,Gradle,""
gov.ca.cwds.cals:lis-data-model,0.4.2-SNAPSHOT,unknown,"",Not approved,Gradle,""
io.dropwizard.metrics:metrics-annotation,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-core,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-healthchecks,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-jersey2,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-jetty9,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-json,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-jvm,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-logback,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-servlets,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.modules:dropwizard-flyway,1.0.0-1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-assets,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-configuration,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-core,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-db,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-hibernate,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-jackson,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-jersey,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-jetty,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-lifecycle,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-logging,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-metrics,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-request-logging,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-servlets,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-testing,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-util,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-validation,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-views,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard:dropwizard-views-mustache,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.netty:netty,3.10.6.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.netty:netty-buffer,4.1.11.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.netty:netty-codec,4.1.11.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.netty:netty-codec-http,4.1.11.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.netty:netty-common,4.1.11.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.netty:netty-handler,4.1.11.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.netty:netty-resolver,4.1.11.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.netty:netty-transport,4.1.11.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.swagger:swagger-annotations,1.5.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.swagger:swagger-core,1.5.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.swagger:swagger-jaxrs,1.5.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.swagger:swagger-jersey2-jaxrs,1.5.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.swagger:swagger-models,1.5.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
javax.annotation:javax.annotation-api,1.2,CDDL + GPLv2 with classpath exception,"",Not approved,Gradle,""
javax.el:javax.el-api,2.2.4,CDDL + GPLv2 with classpath exception,"",Not approved,Gradle,""
javax.inject:javax.inject,1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
javax.servlet:javax.servlet-api,3.1.0,CDDL + GPLv2 with classpath exception,"",Not approved,Gradle,""
javax.transaction:jta,1.1,unknown,"",Not approved,Gradle,""
javax.validation:validation-api,1.1.0.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
javax.ws.rs:javax.ws.rs-api,2.0.1,"CDDL 1.1,GPL2 w/ CPE",",",Not approved,Gradle,""
joda-time:joda-time,2.9.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
junit:junit,4.12,Eclipse Public License 1.0,"",Approved,Gradle,""
net.jcip:jcip-annotations,1.0,unknown,"",Not approved,Gradle,""
net.minidev:accessors-smart,1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
net.minidev:json-smart,2.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
net.sf.ehcache:ehcache,2.10.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
net.sf.jopt-simple:jopt-simple,5.0.2,The MIT License,"",Approved,Gradle,""
net.sourceforge.argparse4j:argparse4j,0.7.0,MIT,http://opensource.org/licenses/mit-license,Approved,Gradle,""
org.antlr:antlr-runtime,3.5,BSD licence,"",Approved,Gradle,""
org.apache.commons:commons-collections4,4.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.commons:commons-compress,1.14,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.commons:commons-io,1.3.2,unknown,"",Not approved,Gradle,""
org.apache.commons:commons-lang3,3.6,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.commons:commons-text,1.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.geronimo.specs:geronimo-jta_1.1_spec,1.1.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.httpcomponents:httpasyncclient,4.1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.httpcomponents:httpclient,4.5.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.httpcomponents:httpcore,4.4.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.httpcomponents:httpcore-nio,4.4.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.logging.log4j:log4j-api,2.8.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-analyzers-common,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-backward-codecs,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-core,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-grouping,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-highlighter,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
org.apache.lucene:lucene-join,6.6.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
